MIDI note number,Note names (English),Frequency (Equal tuning at 440 Hz),Notas
127,G9,12543.85,G
126,F#9/Gb9,11839.82,F
125,F9,11175.3,F
124,E9,10548.08,E
123,D#9/Eb9,9956.06,D
122,D9,9397.27,D
121,C#9/Db9,8869.84,C
120,C9,8372.02,C
119,B8,7902.13,B
118,A#8/Bb8,7458.62,A
117,A8,7040,A
116,G#8/Ab8,6644.88,G
115,G8,6271.93,G
114,F#8/Gb8,5919.91,F
113,F8,5587.65,F
112,E8,5274.04,E
111,D#8/Eb8,4978.03,D
110,D8,4698.64,D
109,C#8/Db8,4434.92,C
108,C8,4186.01,C
107,B7,3951.07,B
106,A#7/Bb7,3729.31,A
105,A7,3520,A
104,G#7/Ab7,3322.44,G
103,G7,3135.96,G
102,F#7/Gb7,2959.96,F
101,F7,2793.83,F
100,E7,2637.02,E
99,D#7/Eb7,2489.02,D
98,D7,2349.32,D
97,C#7/Db7,2217.46,C
96,C7,2093,C
95,B6,1975.53,B
94,A#6/Bb6,1864.66,A
93,A6,1760,A
92,G#6/Ab6,1661.22,G
91,G6,1567.98,G
90,F#6/Gb6,1479.98,F
89,F6,1396.91,F
88,E6,1318.51,E
87,D#6/Eb6,1244.51,D
86,D6,1174.66,D
85,C#6/Db6,1108.73,C
84,C6,1046.5,C
83,B5,987.77,B
82,A#5/Bb5,932.33,A
81,A5,880,A
80,G#5/Ab5,830.61,G
79,G5,783.99,G
78,F#5/Gb5,739.99,F
77,F5,698.46,F
76,E5,659.26,E
75,D#5/Eb5,622.25,D
74,D5,587.33,D
73,C#5/Db5,554.37,C
72,C5,523.25,C
71,B4,493.88,B
70,A#4/Bb4,466.16,A
69,A4 concert pitch,440,A
68,G#4/Ab4,415.3,G
67,G4,392,G
66,F#4/Gb4,369.99,F
65,F4,349.23,F
64,E4,329.63,E
63,D#4/Eb4,311.13,D
62,D4,293.66,D
61,C#4/Db4,277.18,C
60,C4 (middle C),261.63,C
59,B3,246.94,B
58,A#3/Bb3,233.08,A
57,A3,220,A
56,G#3/Ab3,207.65,G
55,G3,196,G
54,F#3/Gb3,185,F
53,F3,174.61,F
52,E3,164.81,E
51,D#3/Eb3,155.56,D
50,D3,146.83,D
49,C#3/Db3,138.59,C
48,C3,130.81,C
47,B2,123.47,B
46,A#2/Bb2,116.54,A
45,A2,110,A
44,G#2/Ab2,103.83,G
43,G2,98,G
42,F#2/Gb2,92.5,F
41,F2,87.31,F
40,E2,82.41,E
39,D#2/Eb2,77.78,D
38,D2,73.42,D
37,C#2/Db2,69.3,C
36,C2,65.41,C
35,B1,61.74,B
34,A#1/Bb1,58.27,A
33,A1,55,A
32,G#1/Ab1,51.91,G
31,G1,49,G
30,F#1/Gb1,46.25,F
29,F1,43.65,F
28,E1,41.2,E
27,D#1/Eb1,38.89,D
26,D1,36.71,D
25,C#1/Db1,34.65,C
24,C1,32.7,C
23,B0,30.87,B
22,A#0/Bb0,29.14,A
21,A0,27.5,A
20,G#,25.96,G
19,G,24.5,G
18,F#,23.12,F
17,F,21.83,F
16,E,20.6,E
15,D#,19.45,D
14,D,18.35,D
13,C#,17.32,C
12,C0,16.35,C
11,B,15.43,B
10,A#,14.57,A
9,A,13.75,A
8,G#,12.98,G
7,G,12.25,G
6,F#,11.56,F
5,F,10.91,F
4,E,10.3,E
3,D#,9.72,D
2,D,9.18,D
1,C#,8.66,C
0,C-1,8.18,C
